index,compressed_offset,compressed_bytes,uncompressed_bytes,crc32,installed_path
0,15019,4872,16824,0ec4143f,
1,19895,6928,21034,5f665cab,
2,26827,79399,140800,b7add685,
3,106230,9086,45056,acd49556,
4,115320,291,479,04fdd811,
5,115615,4508,9728,20cc89c5,
6,120127,1477,16882,340a814d,
7,121608,990,4183,8cfd354c,
8,122602,587,1410,88079753,
9,123193,302,506,267f5658,
10,123499,296,516,2d6540d4,
11,123799,10086,77876,6afe69bb,
12,133889,55445,148992,325aff99,
13,189338,28334,45019,62a3c54d,scores
14,217676,165,1144,945ff027,Icon.bmp
15,217845,5882,14883,767188de,Readme.txt
16,223731,26645,64768,07f1f672,Sights/Instr01.jba
17,250380,25175,64768,34136eda,Sights/Instr02.jba
18,275559,25292,64768,24969a78,Sights/Instr03.jba
19,300855,26702,64768,d84340cc,Sights/Instr04.jba
20,327561,27664,64768,a4cdefb1,Sights/Instr05.jba
21,355229,27176,64768,455a5566,Sights/Instr06.jba
22,382409,27726,64768,fd8c7121,Sights/Instr07.jba
23,410139,28036,64768,0183e07b,Sights/Instr08.jba
24,438179,25817,64768,24e2cd10,Sights/Instr09.jba
25,464000,24637,64768,d4bfda50,Sights/Disarm1.jba
26,488641,24379,64768,ef9d62c2,Sights/Disarm2.jba
27,513024,24716,64768,c71eb76c,Sights/Disarm0.jba
28,537744,22522,64768,cf70d6bd,Sights/Mission1.jba
29,560270,21431,64768,4eafa506,Sights/Mission2.jba
30,581705,23601,64768,350ef6ca,Sights/Mission3.jba
31,605310,359,64768,4a44897d,Sights/Missile.jba
32,605673,1555,64768,719699be,Sights/Good1.jba
33,607232,1656,64768,49675694,Sights/Good2.jba
34,608892,3096,64768,2f0929d3,Sights/Bad1.jba
35,611992,1771,64768,18008ead,Sights/Bad2.jba
36,613767,43722,64768,622bb20d,Sights/Desertop.jba
37,657493,44392,64768,a9c8cea9,Sights/Rivertop.jba
38,701889,36743,64768,812e08ef,Sights/Desermid.jba
39,738636,43502,64768,65540300,Sights/Deserbot.jba
40,782142,40313,64768,44054392,Sights/Rivermid.jba
41,822459,39729,64768,4bf324bd,Sights/Riverbot.jba
42,862192,2802,64768,537c95bb,Sights/Debris2a.jba
43,864998,13410,64768,df5617eb,Sights/Gemini1.jba
44,878412,13712,64768,dcf4afc5,Sights/Gemini2.jba
45,892128,14958,64768,f32f208d,Sights/Sloop.jba
46,907090,9330,64768,08600de6,Sights/Splash.jba
47,916424,15716,64768,89298128,Sights/Saddle.jba
48,932144,4209,64768,25c5ad49,Sights/Retro.jba
49,936357,960,64768,05361c24,Sights/Top_tab.jba
50,937321,2163,64768,596c77bc,Sights/Flake.jba
51,939488,2212,64768,ae703877,Sights/Font2.jba
52,941704,1119,64768,b6427a51,Sights/Top_hole.jba
53,942827,4758,64768,10feba76,Sights/Lid.jba
54,947589,4186,64768,8be8a7f1,Sights/Bat.jba
55,951779,929,64768,345c8bf9,Sights/Gemhead.jba
56,952712,1340,64768,22f380a7,Sights/Junk2.jba
57,954056,1227,64768,04fe09f7,Sights/Junk1.jba
58,955287,942,64768,22e6f217,Sights/Wheel.jba
59,956233,5187,64768,7001c2ab,Sights/Top.jba
60,961424,488,64768,e1a918d3,Sights/Target.jba
61,961916,7677,64768,e0d17416,Sights/Hydra.jba
62,969597,533,64768,f9eba384,Sights/Fireball.jba
