asset,dos_object,object_offset,source_patch,instruction_start,logical_page,loader_function
hull0.jba,4,0x4854,0x0006C97C,0x0006C97B,93,0x0006C964
hull1.jba,4,0x4860,0x0006C9CF,0x0006C9CE,93,0x0006C964
hull2.jba,4,0x486C,0x0006CA26,0x0006CA25,93,0x0006C964
hull3.jba,4,0x4878,0x0006CA7D,0x0006CA7C,93,0x0006C964
panel0.jba,4,0x4884,0x0006CACF,0x0006CACE,93,0x0006C964
panel1.jba,4,0x4890,0x0006CB37,0x0006CB36,93,0x0006C964
panel2.jba,4,0x489C,0x0006CB8E,0x0006CB8D,93,0x0006C964
panel3.jba,4,0x48A8,0x0006CBE5,0x0006CBE4,93,0x0006C964
damage0.jba,4,0x48B4,0x0006CC46,0x0006CC45,93,0x0006C964
damage1.jba,4,0x48C0,0x0006CC74,0x0006CC73,93,0x0006C964
hub.jba,4,0x48CC,0x0006CCB9,0x0006CCB8,93,0x0006C964
motor.jba,4,0x48D4,0x0006CCDF,0x0006CCDE,93,0x0006C964
hole.jba,4,0x48E0,0x0006CD60,0x0006CD5F,93,0x0006C964
